Date,NSIDC SMAP/Sentinel 1Km: avg, NSIDC SMAP/Sentinel 1Km: avg Percent of AOI with data
2016-6-15 00:00:00,null,0.00,
2016-6-16 00:00:00,null,0.00,
2016-6-17 00:00:00,null,0.00,
2016-6-24 00:00:00,null,0.00,
2016-6-26 00:00:00,null,0.00,
2016-6-27 00:00:00,null,0.00,
2016-6-28 00:00:00,null,0.00,
2016-6-29 00:00:00,null,0.00,
2016-6-30 00:00:00,null,0.00,
2016-7-1 00:00:00,null,0.00,
2016-7-2 00:00:00,null,0.00,
2016-7-3 00:00:00,null,0.00,
2016-7-4 00:00:00,null,0.00,
2016-7-5 00:00:00,null,0.00,
2016-7-6 00:00:00,null,0.00,
2016-7-7 00:00:00,null,0.00,
2016-7-8 00:00:00,null,0.00,
2016-7-9 00:00:00,null,0.00,
2016-7-10 00:00:00,null,0.00,
2016-7-11 00:00:00,null,0.00,
2016-7-12 00:00:00,null,0.00,
2016-7-13 00:00:00,null,0.00,
2016-7-14 00:00:00,null,0.00,
2016-7-15 00:00:00,null,0.00,
2016-7-16 00:00:00,null,0.00,
2016-7-17 00:00:00,null,0.00,
2016-7-18 00:00:00,null,0.00,
2016-7-19 00:00:00,null,0.00,
2016-7-20 00:00:00,null,0.00,
2016-7-21 00:00:00,null,0.00,
2016-7-22 00:00:00,null,0.00,
2016-7-23 00:00:00,null,0.00,
2016-7-24 00:00:00,null,0.00,
2016-7-25 00:00:00,null,0.00,
2016-7-26 00:00:00,null,0.00,
2016-7-27 00:00:00,null,0.00,
2016-7-28 00:00:00,null,0.00,
2016-7-29 00:00:00,null,0.00,
2016-7-30 00:00:00,null,0.00,
2016-7-31 00:00:00,null,0.00,
2016-8-1 00:00:00,null,0.00,
2016-8-2 00:00:00,null,0.00,
2016-8-3 00:00:00,null,0.00,
2016-8-4 00:00:00,null,0.00,
2016-8-5 00:00:00,null,0.00,
2016-8-6 00:00:00,null,0.00,
2016-8-7 00:00:00,null,0.00,
2016-8-8 00:00:00,null,0.00,
2016-8-9 00:00:00,null,0.00,
2016-8-10 00:00:00,null,0.00,
2016-8-11 00:00:00,null,0.00,
2016-8-12 00:00:00,null,0.00,
2016-8-13 00:00:00,null,0.00,
2016-8-14 00:00:00,null,0.00,
2016-8-15 00:00:00,null,0.00,
2016-8-16 00:00:00,null,0.00,
2016-8-17 00:00:00,null,0.00,
2016-8-18 00:00:00,null,0.00,
2016-8-19 00:00:00,null,0.00,
2016-8-20 00:00:00,null,0.00,
2016-8-21 00:00:00,null,0.00,
2016-8-22 00:00:00,null,0.00,
2016-8-23 00:00:00,null,0.00,
2016-8-24 00:00:00,null,0.00,
2016-8-25 00:00:00,null,0.00,
2016-8-26 00:00:00,null,0.00,
2016-8-27 00:00:00,null,0.00,
2016-8-28 00:00:00,null,0.00,
2016-8-29 00:00:00,null,0.00,
2016-8-30 00:00:00,null,0.00,
2016-8-31 00:00:00,null,0.00,
2016-9-1 00:00:00,null,0.00,
2016-9-2 00:00:00,null,0.00,
2016-9-3 00:00:00,null,0.00,
2016-9-4 00:00:00,null,0.00,
2016-9-5 00:00:00,null,0.00,
2016-9-6 00:00:00,null,0.00,
2016-9-7 00:00:00,null,0.00,
2016-9-8 00:00:00,null,0.00,
2016-9-9 00:00:00,null,0.00,
2016-9-10 00:00:00,null,0.00,
2016-9-11 00:00:00,null,0.00,
2016-9-12 00:00:00,null,0.00,
2016-9-13 00:00:00,null,0.00,
2016-9-14 00:00:00,null,0.00,
2016-9-15 00:00:00,null,0.00,
2016-9-16 00:00:00,null,0.00,
2016-9-17 00:00:00,null,0.00,
2016-9-18 00:00:00,null,0.00,
2016-9-19 00:00:00,null,0.00,
2016-9-20 00:00:00,null,0.00,
2016-9-21 00:00:00,null,0.00,
2016-9-22 00:00:00,null,0.00,
2016-9-23 00:00:00,null,0.00,
2016-9-24 00:00:00,null,0.00,
2016-9-25 00:00:00,null,0.00,
2016-9-26 00:00:00,null,0.00,
2016-9-28 00:00:00,null,0.00,
2016-9-29 00:00:00,null,0.00,
2016-9-30 00:00:00,null,0.00,
2016-10-1 00:00:00,null,0.00,
2016-10-2 00:00:00,0.322,6.07,
2016-10-3 00:00:00,null,0.00,
2016-10-4 00:00:00,null,0.00,
2016-10-5 00:00:00,null,0.00,
2016-10-6 00:00:00,null,0.00,
2016-10-7 00:00:00,null,0.00,
2016-10-8 00:00:00,0.309,41.93,
2016-10-9 00:00:00,null,0.00,
2016-10-10 00:00:00,null,0.00,
2016-10-11 00:00:00,null,0.00,
2016-10-12 00:00:00,null,0.00,
2016-10-13 00:00:00,null,0.00,
2016-10-14 00:00:00,null,0.00,
2016-10-15 00:00:00,0.284,6.17,
2016-10-16 00:00:00,null,0.00,
2016-10-17 00:00:00,null,0.00,
2016-10-18 00:00:00,null,0.00,
2016-10-19 00:00:00,null,0.00,
2016-10-20 00:00:00,null,0.00,
2016-10-21 00:00:00,0.272,81.28,
2016-10-22 00:00:00,null,0.00,
2016-10-23 00:00:00,null,0.00,
2016-10-24 00:00:00,null,0.00,
2016-10-25 00:00:00,null,0.00,
2016-10-26 00:00:00,0.241,6.15,
2016-10-27 00:00:00,null,0.00,
2016-10-28 00:00:00,null,0.00,
2016-10-29 00:00:00,null,0.00,
2016-10-30 00:00:00,null,0.00,
2016-10-31 00:00:00,0.244,78.34,
2016-11-1 00:00:00,null,0.00,
2016-11-2 00:00:00,null,0.00,
2016-11-3 00:00:00,null,0.00,
2016-11-4 00:00:00,null,0.00,
2016-11-5 00:00:00,null,0.00,
2016-11-6 00:00:00,null,0.00,
2016-11-7 00:00:00,null,0.00,
2016-11-8 00:00:00,0.209,6.16,
2016-11-9 00:00:00,null,0.00,
2016-11-10 00:00:00,null,0.00,
2016-11-11 00:00:00,null,0.00,
2016-11-12 00:00:00,null,0.00,
2016-11-13 00:00:00,null,0.00,
2016-11-14 00:00:00,0.234,76.15,
2016-11-15 00:00:00,null,0.00,
2016-11-16 00:00:00,null,0.00,
2016-11-17 00:00:00,null,0.00,
2016-11-18 00:00:00,null,0.00,
2016-11-19 00:00:00,0.202,6.17,
2016-11-20 00:00:00,null,0.00,
2016-11-21 00:00:00,null,0.00,
2016-11-22 00:00:00,null,0.00,
2016-11-23 00:00:00,null,0.00,
2016-11-24 00:00:00,null,0.00,
2016-11-25 00:00:00,null,0.00,
2016-11-26 00:00:00,null,0.00,
2016-11-27 00:00:00,null,0.00,
2016-11-28 00:00:00,null,0.00,
2016-11-29 00:00:00,null,0.00,
2016-11-30 00:00:00,null,0.00,
2016-12-1 00:00:00,null,0.00,
2016-12-2 00:00:00,0.191,6.19,
2016-12-3 00:00:00,null,0.00,
2016-12-4 00:00:00,null,0.00,
2016-12-5 00:00:00,null,0.00,
2016-12-6 00:00:00,null,0.00,
2016-12-7 00:00:00,null,0.00,
2016-12-8 00:00:00,0.218,75.84,
2016-12-9 00:00:00,null,0.00,
2016-12-10 00:00:00,null,0.00,
2016-12-11 00:00:00,null,0.00,
2016-12-12 00:00:00,null,0.00,
2016-12-13 00:00:00,0.172,6.05,
2016-12-14 00:00:00,null,0.00,
2016-12-15 00:00:00,null,0.00,
2016-12-16 00:00:00,null,0.00,
2016-12-17 00:00:00,null,0.00,
2016-12-18 00:00:00,null,0.00,
2016-12-19 00:00:00,0.242,46.41,
2016-12-20 00:00:00,null,0.00,
2016-12-21 00:00:00,null,0.00,
2016-12-22 00:00:00,null,0.00,
2016-12-23 00:00:00,null,0.00,
2016-12-24 00:00:00,null,0.00,
2016-12-25 00:00:00,null,0.00,
2016-12-26 00:00:00,0.185,6.18,
2016-12-27 00:00:00,null,0.00,
2016-12-28 00:00:00,null,0.00,
2016-12-29 00:00:00,null,0.00,
2016-12-30 00:00:00,null,0.00,
2017-1-2 00:00:00,null,0.00,
2017-1-3 00:00:00,null,0.00,
2017-1-4 00:00:00,null,0.00,
2017-1-5 00:00:00,null,0.00,
2017-1-6 00:00:00,0.196,6.16,
2017-1-7 00:00:00,null,0.00,
2017-1-8 00:00:00,null,0.00,
2017-1-9 00:00:00,null,0.00,
2017-1-10 00:00:00,null,0.00,
2017-1-11 00:00:00,null,0.00,
2017-1-12 00:00:00,0.256,42.07,
2017-1-13 00:00:00,null,0.00,
2017-1-14 00:00:00,null,0.00,
2017-1-15 00:00:00,null,0.00,
2017-1-16 00:00:00,null,0.00,
2017-1-17 00:00:00,null,0.00,
2017-1-18 00:00:00,null,0.00,
2017-1-19 00:00:00,0.200,6.16,
2017-1-20 00:00:00,null,0.00,
2017-1-21 00:00:00,null,0.00,
2017-1-22 00:00:00,null,0.00,
2017-1-23 00:00:00,null,0.00,
2017-1-24 00:00:00,null,0.00,
2017-1-25 00:00:00,0.228,70.60,
2017-1-26 00:00:00,null,0.00,
2017-1-27 00:00:00,null,0.00,
2017-1-28 00:00:00,null,0.00,
2017-1-29 00:00:00,null,0.00,
2017-1-30 00:00:00,null,0.00,
2017-1-31 00:00:00,null,0.00,
2017-2-1 00:00:00,null,0.00,
2017-2-2 00:00:00,null,0.00,
2017-2-3 00:00:00,null,0.00,
2017-2-4 00:00:00,null,0.00,
2017-2-5 00:00:00,0.248,41.97,
2017-2-6 00:00:00,null,0.00,
2017-2-7 00:00:00,null,0.00,
2017-2-8 00:00:00,null,0.00,
2017-2-9 00:00:00,null,0.00,
2017-2-10 00:00:00,0.216,72.89,
2017-2-11 00:00:00,null,0.00,
2017-2-12 00:00:00,0.188,6.08,
2017-2-13 00:00:00,null,0.00,
2017-2-14 00:00:00,null,0.00,
2017-2-15 00:00:00,0.244,37.56,
2017-2-16 00:00:00,null,0.00,
2017-2-17 00:00:00,null,0.00,
2017-2-18 00:00:00,null,0.00,
2017-2-19 00:00:00,null,0.00,
2017-2-20 00:00:00,0.187,74.26,
2017-2-21 00:00:00,null,0.00,
2017-2-22 00:00:00,null,0.00,
2017-2-23 00:00:00,0.177,27.22,
2017-2-24 00:00:00,null,0.00,
2017-2-25 00:00:00,null,0.00,
2017-2-26 00:00:00,0.220,37.56,
2017-2-27 00:00:00,null,0.00,
2017-2-28 00:00:00,null,0.00,
2017-3-1 00:00:00,0.204,43.85,
2017-3-2 00:00:00,null,0.00,
2017-3-3 00:00:00,null,0.00,
2017-3-4 00:00:00,null,0.00,
2017-3-5 00:00:00,null,0.00,
2017-3-6 00:00:00,0.193,72.67,
2017-3-7 00:00:00,null,0.00,
2017-3-8 00:00:00,0.152,26.04,
2017-3-9 00:00:00,null,0.00,
2017-3-10 00:00:00,null,0.00,
2017-3-11 00:00:00,0.359,37.72,
